id,worth in Billion USD,age,gender,Country,image,name,industry,company_name
5390,112.0,54.0,Male,United States,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097,Jeff Bezos,Technology , Amazon
1675,90.0,62.0,None,None,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360,Bill Gates,Technology , Microsoft
2361,84.0,87.0,None,None,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322,Warren Buffett,Finance and Investments , Berkshire Hathaway
2340,72.0,69.0,None,None,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736,Bernard Arnault,Fashion & Retail , LVMH
6891,71.0,33.0,None,None,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044,Mark Zuckerberg,Technology , Facebook
6974,70.0,82.0,None,Spain,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019,Amancio Ortega,Fashion & Retail , Zara
4068,67.1,78.0,Male,None,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990,Carlos Slim Helu,Telecom , telecom
2344,60.0,82.0,Male,None,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797,Charles Koch,Diversified , Koch Industries
9052,60.0,78.0,Male,None,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481,David Koch,Diversified , Koch Industries
5516,58.5,73.0,Male,None,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198,Larry Ellison,Technology , software
5513,50.0,76.0,Male,USA,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784,Michael Bloomberg,Media & Entertainment , Bloomberg LP
6732,48.8,45.0,Male,United States,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950,Larry Page,Technology , Google
6364,47.5,44.0,Male,None,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695,Sergey Brin,Technology , Google
9671,46.4,70.0,None,United States,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441,Jim Walton,Fashion & Retail , Walmart
6542,46.2,73.0,None,None,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791,S. Robson Walton,Fashion & Retail , Walmart
7677,46.0,68.0,None,None,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143,Alice Walton,Fashion & Retail , Walmart
4919,45.3,46.0,Male,China,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832,Ma Huateng,Technology , internet media
