id,worth in Billion USD,age,gender,Country,image,name,industry,company_name,GDP in Billions USD
5390,112.0,54.0,Male,United States,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097,Jeff Bezos,Technology , Amazon,20494.1
6732,48.8,45.0,Male,United States,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950,Larry Page,Technology , Google,20494.1
9671,46.4,70.0,None,United States,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441,Jim Walton,Fashion & Retail , Walmart,20494.1
2676,29.6,80.0,Male,United States,https://specials-images.forbesimg.com/imageserve/5a8d930431358e4955adf1bb/416x416.jpg?background=000000&cropX1=1463&cropX2=2400&cropY1=35&cropY2=972,Phil Knight,Fashion & Retail , Nike,20494.1
9310,21.7,65.0,Male,United States,https:http://specials-images.forbesimg.com/imageserve/57f4fbeb4bbe6f75c4fda22d/416x416.jpg?background=000000&cropX1=82&cropX2=675&cropY1=8&cropY2=601,Paul Allen,Technology ," Microsoft, investments",20494.1
9564,20.0,80.0,Male,United States,https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190,James Simons,Finance and Investments , hedge funds,20494.1
1746,19.9,46.0,Male,United States,https://specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159,Elon Musk,Automotive , Tesla Motors,20494.1
4008,18.8,54.0,Female,United States,https://specials-images.forbesimg.com/imageserve/5a270a504bbe6f37e65991c9/416x416.jpg?background=000000&cropX1=1150&cropX2=4486&cropY1=0&cropY2=3333,Laurene Powell Jobs,Philanthropy/NGO ," Apple, Disney",20494.1
1155,15.9,56.0,None,United States,https:http://specials-images.forbesimg.com/imageserve/57e570c54bbe6f24d1f891b6/416x416.jpg?background=000000&cropX1=63&cropX2=615&cropY1=68&cropY2=621,Abigail Johnson,Finance and Investments , money management,20494.1
2625,14.0,33.0,Male,United States,https://specials-images.forbesimg.com/imageserve/5a8d9076a7ea43169014020b/416x416.jpg?background=000000&cropX1=1208&cropX2=3374&cropY1=81&cropY2=2246,Dustin Moskovitz,Technology , Facebook,20494.1
