Country,GDP in Billions USD
United States,20494.1
China,13608.152
Japan,4970.916
Germany,3996.759
United Kingdom,2825.208
France,2777.535
India,2726.323
Italy,2073.902
Brazil,1868.626
Canada,1712.51
Russia,1657.554
"Korea, South",1619.424
Australia,1432.195
Spain,1426.189
Mexico,1223.809
Indonesia,1042.173
Netherlands,913.658
Saudi Arabia,782.483
Turkey,766.509
Switzerland,705.501
Poland,585.783
Taiwan,574.905
Sweden,551.032
Belgium,531.767
Argentina,518.475
Thailand,504.993
Austria,455.737
Iran,454.013
Norway,434.751
United Arab Emirates,414.179
Nigeria,397.27
Ireland,382.487
Israel,369.69
South Africa,368.288
Singapore,364.157
Hong Kong,362.993
Malaysia,354.348
Denmark,352.058
Philippines,330.91
Colombia,330.228
Pakistan,312.57
Chile,298.231
Bangladesh,274.025
Finland,273.961
Egypt,250.895
Czech Republic,245.226
Vietnam,244.948
Romania,239.553
Portugal,237.979
Iraq,225.914
Peru,222.238
Greece,218.032
New Zealand,205.025
Qatar,192.009
Algeria,180.689
Kazakhstan,170.539
Hungary,155.703
Kuwait,141.678
Ukraine,130.832
Morocco,118.495
Ecuador,108.398
Slovak Republic,106.472
Angola,105.751
Cuba,96.851
Sri Lanka,88.901
Kenya,87.908
Ethiopia,84.355
Dominican Republic,81.299
Oman,79.295
Guatemala,78.46
Myanmar,71.215
Luxembourg,69.488
Ghana,65.556
Bulgaria,65.133
Panama,65.055
Croatia,60.806
Costa Rica,60.126
Belarus,59.663
Uruguay,59.597
Tanzania,57.437
Lebanon,56.639
Macau,54.545
Slovenia,54.235
Lithuania,53.251
Serbia,50.508
Uzbekistan,50.5
Libya,48.32
"Congo, Democratic Republic of the",47.228
Azerbaijan,46.94
Cote d'Ivoire,43.007
Jordan,42.291
Sudan,40.852
Paraguay,40.842
Turkmenistan,40.761
Bolivia,40.288
Tunisia,39.861
Cameroon,38.502
Bahrain,37.746
Latvia,34.849
Zimbabwe,31.001
Estonia,30.285
Nepal,28.812
Uganda,27.477
Zambia,26.72
El Salvador,26.057
Iceland,25.882
Cambodia,24.572
Cyprus,24.47
Senegal,24.13
Honduras,23.803
Papua New Guinea,23.432
Trinidad and Tobago,23.41
Bosnia and Herzegovina,19.782
Afghanistan,19.363
Botswana,18.616
Laos,18.131
Mali,17.197
Gabon,17.017
Georgia,16.21
Jamaica,15.718
Albania,15.059
West Bank and Gaza,14.616
Malta,14.542
Namibia,14.522
Mozambique,14.458
Burkina Faso,14.442
Mauritius,14.22
Brunei,13.567
Equatorial Guinea,13.317
Nicaragua,13.118
Mongolia,13.01
North Macedonia,12.672
Armenia,12.433
"Bahamas, The",12.162
Madagascar,12.1
Moldova,11.309
Chad,11.303
"Congo, Republic of the",11.264
Guinea,10.99
Benin,10.359
Haiti,9.658
Rwanda,9.509
Niger,9.24
Kyrgyzstan,8.093
Kosovo,7.9
Tajikistan,7.523
Malawi,7.065
Fiji,5.48
Montenegro,5.452
Mauritania,5.366
Togo,5.3
Maldives,5.272
Somalia,4.721
Eswatini,4.704
Barbados,4.674
Sierra Leone,4.0
Guyana,3.61
Suriname,3.427
Liberia,3.249
Andorra,3.237
Burundi,3.078
Lesotho,2.792
Timor-Leste,2.581
Bhutan,2.535
Central African Republic,2.38
Cabo Verde,1.987
Djibouti,1.966
Belize,1.925
Saint Lucia,1.876
San Marino,1.633
"Gambia, The",1.624
Antigua and Barbuda,1.624
Seychelles,1.59
Guinea-Bissau,1.458
Solomon Islands,1.412
Grenada,1.207
Comoros,1.203
Saint Kitts and Nevis,1.049
Vanuatu,0.888
Samoa,0.861
Saint Vincent and the Grenadines,0.813
Dominica,0.504
Tonga,0.45
Sao Tome and Principe,0.422
"Micronesia, Federated States of",0.345
Palau,0.31
Marshall Islands,0.212
Kiribati,0.188
Nauru,0.115
Tuvalu,0.043
